"lp.","imię i nazwisko","wykształcenie","lista","nr okręgu","miasto","głosy"
1,"Andrzej Adamczyk","wyższe","Prawo i Sprawiedliwość",13,"Kraków",45171
2,"Piotr Adamowicz","średnie ogólne","Koalicja Obywatelska PO .N IPL ZIELONI",25,"Gdańsk",23147
3,"Adam Andruszkiewicz","wyższe","Prawo i Sprawiedliwość",24,"Białystok",53632
4,"Waldemar Andzel","wyższe","Prawo i Sprawiedliwość",32,"Katowice",22699
5,"Dorota Arciszewska-Mielewczyk","wyższe","Prawo i Sprawiedliwość",26,"Słupsk",11766
6,"Jan Krzysztof Ardanowski","wyższe","Prawo i Sprawiedliwość",5,"Toruń",28658
7,"Iwona Ewa Arent","wyższe","Prawo i Sprawiedliwość",35,"Olsztyn",16675
8,"Bartosz Arłukowicz","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",40,"Koszalin",67325
9,"Marek Ast","wyższe","Prawo i Sprawiedliwość",8,"Zielona Góra",36365
10,"Urszula Augustyn","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",15,"Tarnów",27047
11,"Piotr Babinetz","wyższe","Prawo i Sprawiedliwość",22,"Krosno",12829
12,"Ryszard Bartosik","wyższe","Prawo i Sprawiedliwość",37,"Konin",25371
13,"Władysław Bartoszewski","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",19,"Warszawa",34563
14,"Barbara Bartuś","wyższe","Prawo i Sprawiedliwość",14,"Nowy Sącz",21250
15,"Paweł Bejda","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",11,"Sieradz",25363
16,"Konrad Berkowicz","wyższe","Konfederacja Wolność i Niepodległość",13,"Kraków",36918
17,"Sylwia Bielawska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",2,"Wałbrzych",17577
18,"Marek Biernacki","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",26,"Słupsk",34369
19,"Paweł Bliźniuk","średnie ogólne","Koalicja Obywatelska PO .N IPL ZIELONI",9,"Łódź",12315
20,"Mariusz Błaszczak","wyższe","Prawo i Sprawiedliwość",20,"Warszawa",127578
21,"Mateusz Bochenek","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",32,"Katowice",15117
22,"Rafał Bochenek","wyższe","Prawo i Sprawiedliwość",12,"Kraków",42142
23,"Izabela Bodnar","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",3,"Wrocław",26404
24,"Jacek Bogucki","wyższe","Prawo i Sprawiedliwość",24,"Białystok",12032
25,"Zbigniew Bogucki","wyższe","Prawo i Sprawiedliwość",41,"Szczecin",26375
26,"Krzysztof Bojarski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",6,"Lublin",10672
27,"Joanna Borowiak","wyższe","Prawo i Sprawiedliwość",5,"Toruń",25995
28,"Kamil Bortniczuk","wyższe","Prawo i Sprawiedliwość",16,"Płock",31555
29,"Piotr Borys","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",1,"Legnica",44912
30,"Bożena Borys-Szopa","wyższe","Prawo i Sprawiedliwość",29,"Katowice",30445
31,"Marcin Bosacki","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",39,"Poznań",24197
32,"Karina Anna Bosak","wyższe","Konfederacja Wolność i Niepodległość",20,"Warszawa",21217
33,"Krzysztof Bosak","średnie ogólne","Konfederacja Wolność i Niepodległość",24,"Białystok",44902
34,"Grzegorz Braun","wyższe","Konfederacja Wolność i Niepodległość",23,"Rzeszów",26895
35,"Krzysztof Brejza","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",4,"Bydgoszcz",89840
36,"Agnieszka Buczyńska","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",25,"Gdańsk",35213
37,"Waldemar Buda","wyższe","Prawo i Sprawiedliwość",9,"Łódź",45474
38,"Borys Budka","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",31,"Katowice",101258
39,"Elżbieta Burkiewicz","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",23,"Rzeszów",11582
40,"Lidia Burzyńska","wyższe","Prawo i Sprawiedliwość",28,"Częstochowa",49713
41,"Marek Jan Chmielewski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",2,"Wałbrzych",9108
42,"Zbigniew Chmielowiec","wyższe","Prawo i Sprawiedliwość",23,"Rzeszów",18574
43,"Artur Chojecki","wyższe","Prawo i Sprawiedliwość",35,"Olsztyn",17418
44,"Kazimierz Bogusław Choma","wyższe","Prawo i Sprawiedliwość",6,"Lublin",8363
45,"Dominika Chorosińska","wyższe","Prawo i Sprawiedliwość",20,"Warszawa",9582
46,"Tadeusz Chrzan","wyższe","Prawo i Sprawiedliwość",22,"Krosno",12184
47,"Alicja Chybicka","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",3,"Wrocław",78816
48,"Anna Ewa Cicholska","wyższe","Prawo i Sprawiedliwość",16,"Płock",19074
49,"Janusz Cichoń","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",35,"Olsztyn",32356
50,"Krzysztof Ciecióra","wyższe","Prawo i Sprawiedliwość",10,"Piotrków Trybunalski",10426
51,"Janusz Cieszyński","wyższe","Prawo i Sprawiedliwość",35,"Olsztyn",20644
52,"Michał Cieślak","wyższe","Prawo i Sprawiedliwość",33,"Kielce",5629
53,"Żaneta Cwalina-Śliwowska","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",18,"Siedlce",9747
54,"Krzysztof Czarnecki","średnie zawodowe","Prawo i Sprawiedliwość",38,"Piła",37420
55,"Witold Wojciech Czarnecki","wyższe","Prawo i Sprawiedliwość",37,"Konin",17601
56,"Przemysław Czarnek","wyższe","Prawo i Sprawiedliwość",6,"Lublin",121686
57,"Arkadiusz Czartoryski","wyższe","Prawo i Sprawiedliwość",18,"Siedlce",15845
58,"Włodzimierz Czarzasty","wyższe","Nowa Lewica",32,"Katowice",22332
59,"Jacek Czerniak","wyższe","Nowa Lewica",6,"Lublin",10910
60,"Zofia Czernow","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",1,"Legnica",30258
61,"Anita Czerwińska","wyższe","Prawo i Sprawiedliwość",20,"Warszawa",18443
62,"Katarzyna Czochara","wyższe","Prawo i Sprawiedliwość",21,"Opole",20004
